transaction_id,cardholder_id,timestamp,amount,merchant_category,merchant_id,merchant_name,city
TX_016115,CH_0999,2026-01-01 05:27:15,63.04,Grocery,M_3462,SuperSaver,San Diego
TX_005214,CH_0740,2026-01-01 05:28:43,204.05,Retail,M_3476,MacyShop,Chicago
TX_000574,CH_0383,2026-01-01 05:34:45,36.47,Gas/Travel,M_6552,ShellGas,San Jose
TX_010441,CH_0124,2026-01-01 05:58:11,242.79,Digital Services,M_7665,GooglePlay,New York
TX_008953,CH_0762,2026-01-01 05:59:26,63.04,Grocery,M_3462,SuperSaver,Dallas
TX_009752,CH_0846,2026-01-01 06:07:29,189.61,Retail,M_3476,MacyShop,Houston
TX_013265,CH_0744,2026-01-01 06:08:15,148.87,Retail,M_6055,TargetRun,San Diego
TX_002220,CH_0800,2026-01-01 06:34:44,178.62,Digital Services,M_7752,SteamGames,New York
TX_019735,CH_0823,2026-01-01 07:27:38,16.71,Grocery,M_3462,SuperSaver,Philadelphia
TX_003251,CH_0789,2026-01-01 07:37:12,233.5,Entertainment,M_9172,NetflixInc,Dallas
TX_004397,CH_0732,2026-01-01 07:49:13,261.0,Digital Services,M_7665,GooglePlay,Dallas
TX_019250,CH_0147,2026-01-01 07:55:06,146.0,Digital Services,M_5656,AppleStore,Chicago
TX_016049,CH_0269,2026-01-01 07:55:58,12.92,Entertainment,M_9172,NetflixInc,New York
TX_016688,CH_0369,2026-01-01 08:02:31,89.25,Gas/Travel,M_9191,ChevronStation,Houston
TX_011559,CH_0081,2026-01-01 08:20:11,290.85,Gas/Travel,M_9191,ChevronStation,New York
TX_014720,CH_0586,2026-01-01 08:48:35,196.73,Gas/Travel,M_0100,UberRide,Los Angeles
TX_011161,CH_0365,2026-01-01 09:02:37,160.7,Gas/Travel,M_8105,DeltaAir,Los Angeles
TX_014882,CH_0924,2026-01-01 09:10:30,277.7,Retail,M_0750,NordstromStyle,Dallas
TX_019737,CH_0182,2026-01-01 09:25:51,57.18,Grocery,M_9638,DailyGrocer,Houston
TX_012360,CH_0876,2026-01-01 09:26:48,85.5,Grocery,M_3462,SuperSaver,San Antonio
TX_018374,CH_0783,2026-01-01 09:29:06,175.5,Digital Services,M_5255,AmazonCloud,Los Angeles
TX_004654,CH_0479,2026-01-01 09:43:54,292.59,Entertainment,M_1632,AMCTheaters,San Jose
TX_015304,CH_0865,2026-01-01 10:01:56,82.81,Retail,M_0439,WalmartDirect,San Diego
TX_006230,CH_0145,2026-01-01 10:04:40,271.64,Entertainment,M_8473,SpotifyMusic,Houston
TX_017744,CH_0429,2026-01-01 10:07:09,64.0,Gas/Travel,M_8105,DeltaAir,Los Angeles
TX_009139,CH_0689,2026-01-01 10:15:08,101.47,Entertainment,M_4235,TicketMaster,Philadelphia
TX_019743,CH_0923,2026-01-01 10:25:05,33.64,Digital Services,M_7665,GooglePlay,San Diego
TX_007352,CH_0478,2026-01-01 10:31:25,165.59,Entertainment,M_8473,SpotifyMusic,Phoenix
TX_012139,CH_0046,2026-01-01 11:31:21,215.81,Digital Services,M_7752,SteamGames,Philadelphia
TX_002855,CH_0918,2026-01-01 11:34:04,123.64,Entertainment,M_4235,TicketMaster,Phoenix
TX_013039,CH_0149,2026-01-01 11:43:19,186.51,Digital Services,M_5255,AmazonCloud,Phoenix
TX_009799,CH_0115,2026-01-01 12:02:18,98.22,Grocery,M_3462,SuperSaver,Philadelphia
TX_000622,CH_0453,2026-01-01 12:07:35,66.12,Gas/Travel,M_8105,DeltaAir,San Antonio
TX_013649,CH_0436,2026-01-01 12:27:09,150.11,Retail,M_6055,TargetRun,Chicago
TX_004294,CH_0588,2026-01-01 12:31:42,277.37,Grocery,M_9638,DailyGrocer,San Antonio
TX_017739,CH_0385,2026-01-01 12:46:15,226.24,Gas/Travel,M_0100,UberRide,San Jose
TX_016008,CH_0766,2026-01-01 12:52:20,102.26,Grocery,M_1888,WholeFoodsCo,San Diego
TX_001197,CH_0532,2026-01-01 13:02:56,76.18,Gas/Travel,M_8105,DeltaAir,Chicago
TX_009425,CH_0846,2026-01-01 13:04:19,46.39,Retail,M_0750,NordstromStyle,Los Angeles
TX_016067,CH_0668,2026-01-01 13:27:46,207.77,Grocery,M_8505,FreshMart,Philadelphia
TX_002537,CH_0145,2026-01-01 13:55:46,217.08,Digital Services,M_7752,SteamGames,New York
TX_002046,CH_0695,2026-01-01 14:16:35,241.19,Retail,M_3476,MacyShop,Houston
TX_018230,CH_0866,2026-01-01 14:44:37,268.4,Entertainment,M_4235,TicketMaster,Philadelphia
TX_009822,CH_0414,2026-01-01 14:45:50,86.64,Grocery,M_3462,SuperSaver,San Jose
TX_018827,CH_0766,2026-01-01 15:14:10,33.17,Retail,M_0439,WalmartDirect,Los Angeles
TX_011971,CH_0725,2026-01-01 15:19:56,260.34,Retail,M_3476,MacyShop,Houston
TX_007113,CH_0147,2026-01-01 15:22:45,67.28,Gas/Travel,M_9191,ChevronStation,Philadelphia
TX_014855,CH_0585,2026-01-01 15:31:45,171.55,Entertainment,M_4235,TicketMaster,San Jose
TX_000223,CH_0308,2026-01-01 15:58:17,147.12,Retail,M_6055,TargetRun,Houston
TX_009677,CH_0811,2026-01-01 15:59:28,196.96,Retail,M_0439,WalmartDirect,Houston
TX_001731,CH_0613,2026-01-01 16:10:38,108.38,Digital Services,M_5656,AppleStore,San Jose
TX_018749,CH_0702,2026-01-01 16:23:28,181.95,Gas/Travel,M_9191,ChevronStation,New York
TX_004559,CH_0170,2026-01-01 16:31:36,265.51,Entertainment,M_1632,AMCTheaters,San Diego
TX_018198,CH_0512,2026-01-01 16:43:20,123.3,Digital Services,M_7752,SteamGames,Houston
TX_019629,CH_0271,2026-01-01 16:48:07,224.86,Retail,M_0750,NordstromStyle,Los Angeles
TX_017978,CH_0800,2026-01-01 17:08:34,178.96,Grocery,M_1888,WholeFoodsCo,Chicago
TX_009006,CH_0341,2026-01-01 17:12:06,29.7,Retail,M_3476,MacyShop,Dallas
TX_015042,CH_0438,2026-01-01 18:34:02,37.09,Digital Services,M_7665,GooglePlay,San Jose
TX_008503,CH_0105,2026-01-01 18:37:53,152.53,Grocery,M_9638,DailyGrocer,San Diego
TX_002710,CH_0062,2026-01-01 18:54:45,264.09,Entertainment,M_4235,TicketMaster,Los Angeles
TX_006732,CH_0818,2026-01-01 19:00:20,83.2,Digital Services,M_7665,GooglePlay,Phoenix
TX_014901,CH_0572,2026-01-01 19:03:01,156.58,Digital Services,M_5656,AppleStore,Los Angeles
TX_003031,CH_0907,2026-01-01 19:08:00,198.86,Grocery,M_1888,WholeFoodsCo,New York
TX_019779,CH_0328,2026-01-01 19:18:17,55.1,Digital Services,M_5255,AmazonCloud,Dallas
TX_004483,CH_0851,2026-01-01 19:30:23,188.34,Digital Services,M_5255,AmazonCloud,Philadelphia
TX_019021,CH_0363,2026-01-01 19:31:39,42.41,Gas/Travel,M_8105,DeltaAir,Phoenix
TX_001517,CH_0427,2026-01-01 19:39:56,219.4,Gas/Travel,M_6552,ShellGas,Phoenix
TX_004870,CH_0094,2026-01-01 19:59:19,212.82,Retail,M_0439,WalmartDirect,Los Angeles
TX_004348,CH_0704,2026-01-01 20:25:43,48.02,Digital Services,M_7752,SteamGames,Dallas
TX_016817,CH_0093,2026-01-01 20:47:01,91.83,Entertainment,M_1632,AMCTheaters,Phoenix
TX_010766,CH_0996,2026-01-01 21:01:36,150.97,Entertainment,M_9172,NetflixInc,Los Angeles
TX_002768,CH_0259,2026-01-01 21:05:48,282.32,Grocery,M_8505,FreshMart,San Antonio
TX_009128,CH_0586,2026-01-01 21:17:54,88.4,Retail,M_0439,WalmartDirect,San Diego
TX_017160,CH_0762,2026-01-01 21:20:26,15.54,Grocery,M_1888,WholeFoodsCo,San Jose
TX_004510,CH_0898,2026-01-01 21:24:58,70.96,Digital Services,M_7665,GooglePlay,Houston
TX_000602,CH_0278,2026-01-01 21:27:11,240.94,Digital Services,M_7665,GooglePlay,New York
TX_009320,CH_0446,2026-01-01 22:28:39,239.04,Grocery,M_9638,DailyGrocer,New York
TX_019874,CH_0636,2026-01-01 22:51:07,276.55,Gas/Travel,M_9191,ChevronStation,Phoenix
TX_001725,CH_0213,2026-01-01 22:55:03,271.73,Gas/Travel,M_0100,UberRide,Chicago
TX_000007,CH_0241,2026-01-01 23:00:15,132.52,Retail,M_0750,NordstromStyle,Dallas
TX_014527,CH_0020,2026-01-01 23:17:46,89.68,Retail,M_0750,NordstromStyle,Los Angeles
TX_002951,CH_0284,2026-01-01 23:18:28,9.27,Entertainment,M_9172,NetflixInc,Los Angeles
TX_004627,CH_0639,2026-01-01 23:18:30,182.79,Digital Services,M_7665,GooglePlay,Chicago
TX_014526,CH_0439,2026-01-01 23:30:16,140.82,Entertainment,M_9172,NetflixInc,Philadelphia
TX_012440,CH_0364,2026-01-01 23:34:07,39.44,Entertainment,M_9172,NetflixInc,Phoenix
TX_015588,CH_0169,2026-01-01 23:49:46,198.56,Digital Services,M_7752,SteamGames,Chicago
TX_009553,CH_0549,2026-01-01 23:50:29,266.74,Grocery,M_1888,WholeFoodsCo,Philadelphia
TX_012343,CH_0361,2026-01-01 23:53:37,175.7,Entertainment,M_1632,AMCTheaters,New York
TX_015520,CH_0415,2026-01-01 23:56:31,15.69,Gas/Travel,M_9191,ChevronStation,San Antonio
TX_001538,CH_0975,2026-01-02 00:03:20,64.83,Grocery,M_3462,SuperSaver,Chicago
TX_005646,CH_0881,2026-01-02 00:38:07,184.91,Entertainment,M_9172,NetflixInc,New York
TX_004857,CH_0441,2026-01-02 00:44:03,15.95,Digital Services,M_7665,GooglePlay,Los Angeles
TX_000885,CH_0393,2026-01-02 00:53:16,217.74,Gas/Travel,M_8105,DeltaAir,Chicago
TX_009335,CH_0766,2026-01-02 00:53:27,108.72,Entertainment,M_1632,AMCTheaters,San Jose
TX_018549,CH_0248,2026-01-02 01:05:45,82.44,Digital Services,M_7665,GooglePlay,New York
TX_012431,CH_0506,2026-01-02 01:17:43,59.65,Grocery,M_3462,SuperSaver,Philadelphia
TX_002381,CH_0402,2026-01-02 01:23:35,226.81,Retail,M_0750,NordstromStyle,San Antonio
TX_017498,CH_0638,2026-01-02 01:41:49,224.21,Gas/Travel,M_0100,UberRide,Philadelphia
TX_003667,CH_0263,2026-01-02 01:43:22,157.23,Gas/Travel,M_0100,UberRide,Phoenix
TX_001878,CH_0407,2026-01-02 02:33:00,216.32,Digital Services,M_7665,GooglePlay,San Antonio
TX_013832,CH_0919,2026-01-02 02:54:41,195.09,Gas/Travel,M_8105,DeltaAir,Chicago
TX_005671,CH_0800,2026-01-02 02:58:49,147.94,Retail,M_6055,TargetRun,Dallas
TX_008593,CH_0943,2026-01-02 03:02:46,120.03,Grocery,M_3462,SuperSaver,New York
TX_012029,CH_0508,2026-01-02 03:20:28,168.1,Grocery,M_1888,WholeFoodsCo,Phoenix
TX_010108,CH_0513,2026-01-02 03:33:21,257.44,Entertainment,M_9172,NetflixInc,Phoenix
TX_007128,CH_0012,2026-01-02 03:35:11,9.8,Grocery,M_8505,FreshMart,Chicago
TX_013321,CH_0138,2026-01-02 04:13:51,125.22,Retail,M_3476,MacyShop,Houston
TX_002613,CH_0773,2026-01-02 04:14:11,260.7,Retail,M_6055,TargetRun,Dallas
TX_019740,CH_0660,2026-01-02 04:17:55,45.26,Grocery,M_8505,FreshMart,Los Angeles
TX_019845,CH_0059,2026-01-02 04:34:26,296.77,Entertainment,M_8473,SpotifyMusic,Los Angeles
TX_015829,CH_0101,2026-01-02 04:35:31,175.04,Gas/Travel,M_9191,ChevronStation,New York
TX_012804,CH_0610,2026-01-02 04:40:35,225.63,Grocery,M_8505,FreshMart,Philadelphia
TX_009224,CH_0550,2026-01-02 04:45:12,284.48,Entertainment,M_4235,TicketMaster,Chicago
TX_005961,CH_0469,2026-01-02 04:45:32,182.18,Gas/Travel,M_0100,UberRide,San Diego
TX_008938,CH_0207,2026-01-02 04:54:17,45.43,Entertainment,M_1632,AMCTheaters,San Jose
TX_018529,CH_0755,2026-01-02 05:00:42,94.68,Gas/Travel,M_6552,ShellGas,Philadelphia
TX_016964,CH_0421,2026-01-02 05:01:13,209.14,Entertainment,M_8473,SpotifyMusic,Phoenix
TX_001761,CH_0809,2026-01-02 05:02:04,6.89,Gas/Travel,M_0100,UberRide,San Jose
TX_011999,CH_0615,2026-01-02 05:14:28,27.94,Grocery,M_3462,SuperSaver,Dallas
TX_017307,CH_0513,2026-01-02 05:26:13,175.58,Grocery,M_9638,DailyGrocer,San Jose
TX_016331,CH_0344,2026-01-02 05:28:14,152.61,Retail,M_3476,MacyShop,Los Angeles
TX_018580,CH_0235,2026-01-02 05:28:15,40.58,Digital Services,M_5656,AppleStore,Phoenix
TX_006225,CH_0593,2026-01-02 05:36:20,144.03,Digital Services,M_7752,SteamGames,Los Angeles
TX_011184,CH_0649,2026-01-02 06:00:33,201.82,Grocery,M_3462,SuperSaver,Houston
TX_019494,CH_0930,2026-01-02 06:13:00,244.43,Digital Services,M_7665,GooglePlay,San Antonio
TX_009023,CH_0539,2026-01-02 06:35:18,170.34,Grocery,M_8505,FreshMart,Chicago
TX_011357,CH_0958,2026-01-02 07:08:50,271.4,Gas/Travel,M_9191,ChevronStation,Chicago
TX_008812,CH_0712,2026-01-02 07:11:25,268.92,Retail,M_0439,WalmartDirect,Phoenix
TX_012234,CH_0700,2026-01-02 07:12:45,103.11,Gas/Travel,M_6552,ShellGas,New York
TX_019661,CH_0519,2026-01-02 07:22:02,281.75,Retail,M_0439,WalmartDirect,San Diego
TX_007015,CH_0853,2026-01-02 07:27:48,103.64,Digital Services,M_7752,SteamGames,San Diego
TX_016055,CH_0357,2026-01-02 07:41:50,97.47,Retail,M_0439,WalmartDirect,Chicago
TX_018788,CH_0694,2026-01-02 07:51:54,269.54,Gas/Travel,M_0100,UberRide,San Antonio
TX_017478,CH_0221,2026-01-02 07:55:42,60.19,Gas/Travel,M_6552,ShellGas,Los Angeles
TX_003997,CH_0029,2026-01-02 07:56:56,206.59,Grocery,M_9638,DailyGrocer,San Antonio
TX_013052,CH_0284,2026-01-02 07:57:01,11.4,Gas/Travel,M_8105,DeltaAir,Phoenix
TX_014734,CH_0438,2026-01-02 08:02:18,99.25,Retail,M_0439,WalmartDirect,New York
TX_010091,CH_0436,2026-01-02 08:04:16,60.04,Retail,M_3476,MacyShop,Chicago
TX_016975,CH_0766,2026-01-02 08:15:39,168.89,Retail,M_6055,TargetRun,San Jose
TX_017020,CH_0310,2026-01-02 08:23:52,293.71,Gas/Travel,M_8105,DeltaAir,San Antonio
TX_011339,CH_0089,2026-01-02 08:48:29,89.58,Digital Services,M_7752,SteamGames,New York
TX_017342,CH_0261,2026-01-02 08:53:47,260.93,Entertainment,M_1632,AMCTheaters,Los Angeles
TX_009566,CH_0076,2026-01-02 08:55:01,254.15,Entertainment,M_4235,TicketMaster,San Diego
TX_001673,CH_0838,2026-01-02 09:00:40,56.89,Grocery,M_1888,WholeFoodsCo,Chicago
TX_011216,CH_0384,2026-01-02 09:05:48,112.42,Gas/Travel,M_0100,UberRide,Philadelphia
TX_002484,CH_0155,2026-01-02 09:13:19,86.06,Entertainment,M_9172,NetflixInc,Chicago
TX_012190,CH_0252,2026-01-02 09:19:45,238.11,Retail,M_3476,MacyShop,Dallas
TX_016400,CH_0909,2026-01-02 09:29:57,51.71,Entertainment,M_4235,TicketMaster,San Antonio
TX_006168,CH_0661,2026-01-02 09:37:20,170.33,Digital Services,M_5255,AmazonCloud,San Jose
TX_014872,CH_0502,2026-01-02 09:37:39,16.48,Entertainment,M_1632,AMCTheaters,New York
TX_013130,CH_0335,2026-01-02 09:46:04,279.56,Entertainment,M_4235,TicketMaster,Dallas
TX_002634,CH_0490,2026-01-02 09:49:46,23.6,Entertainment,M_4235,TicketMaster,Chicago
TX_006396,CH_0475,2026-01-02 10:05:50,291.65,Gas/Travel,M_8105,DeltaAir,San Antonio
TX_019811,CH_0945,2026-01-02 10:26:02,204.61,Gas/Travel,M_9191,ChevronStation,San Jose
TX_001030,CH_0776,2026-01-02 10:28:14,270.85,Digital Services,M_5656,AppleStore,New York
TX_015706,CH_0956,2026-01-02 10:29:07,23.98,Retail,M_3476,MacyShop,Philadelphia
TX_000955,CH_0512,2026-01-02 10:39:27,235.73,Digital Services,M_5656,AppleStore,Phoenix
TX_007921,CH_0009,2026-01-02 10:49:02,260.54,Grocery,M_9638,DailyGrocer,San Jose
TX_006492,CH_0129,2026-01-02 11:08:22,238.08,Grocery,M_8505,FreshMart,Phoenix
TX_002352,CH_0081,2026-01-02 11:11:23,108.76,Digital Services,M_7665,GooglePlay,Chicago
TX_009457,CH_0868,2026-01-02 11:15:40,233.11,Grocery,M_8505,FreshMart,New York
TX_002321,CH_0345,2026-01-02 11:33:55,244.52,Entertainment,M_4235,TicketMaster,San Jose
TX_014921,CH_0915,2026-01-02 11:34:07,14.75,Grocery,M_3462,SuperSaver,Phoenix
TX_009899,CH_0939,2026-01-02 11:40:00,234.92,Retail,M_0750,NordstromStyle,San Jose
TX_003669,CH_0238,2026-01-02 12:00:56,83.5,Retail,M_3476,MacyShop,Chicago
TX_014050,CH_0483,2026-01-02 12:04:30,108.78,Digital Services,M_5656,AppleStore,Chicago
TX_014063,CH_0095,2026-01-02 12:18:25,290.18,Digital Services,M_5656,AppleStore,Los Angeles
TX_013465,CH_0129,2026-01-02 12:27:05,87.36,Digital Services,M_5255,AmazonCloud,San Diego
TX_012759,CH_0092,2026-01-02 12:27:32,282.47,Entertainment,M_9172,NetflixInc,Philadelphia
TX_017083,CH_0060,2026-01-02 12:34:41,155.31,Grocery,M_3462,SuperSaver,Dallas
TX_003331,CH_0806,2026-01-02 12:40:32,204.79,Gas/Travel,M_9191,ChevronStation,San Diego
TX_014472,CH_0171,2026-01-02 13:07:23,297.48,Grocery,M_3462,SuperSaver,Los Angeles
TX_009190,CH_0594,2026-01-02 13:17:31,297.53,Retail,M_6055,TargetRun,New York
TX_012860,CH_0503,2026-01-02 13:26:47,154.34,Retail,M_6055,TargetRun,Los Angeles
TX_016656,CH_0382,2026-01-02 13:36:42,203.19,Retail,M_0750,NordstromStyle,San Antonio
TX_000950,CH_0768,2026-01-02 13:42:00,190.92,Digital Services,M_7665,GooglePlay,Chicago
TX_009216,CH_0440,2026-01-02 13:45:05,225.93,Retail,M_3476,MacyShop,San Diego
TX_010368,CH_0788,2026-01-02 13:50:32,296.87,Grocery,M_3462,SuperSaver,Dallas
TX_012362,CH_0569,2026-01-02 13:58:04,71.6,Digital Services,M_5656,AppleStore,New York
TX_000259,CH_0435,2026-01-02 14:08:41,285.19,Gas/Travel,M_6552,ShellGas,Philadelphia
TX_007321,CH_0757,2026-01-02 14:12:47,74.34,Grocery,M_8505,FreshMart,Chicago
TX_004988,CH_0417,2026-01-02 14:24:28,230.14,Retail,M_0439,WalmartDirect,Philadelphia
TX_004223,CH_0142,2026-01-02 14:51:15,42.6,Entertainment,M_1632,AMCTheaters,Dallas
TX_013740,CH_0918,2026-01-02 15:02:32,10.91,Grocery,M_3462,SuperSaver,San Jose
TX_008611,CH_0212,2026-01-02 15:25:14,40.28,Grocery,M_8505,FreshMart,San Antonio
TX_002669,CH_0432,2026-01-02 15:58:11,108.28,Gas/Travel,M_8105,DeltaAir,Houston
TX_004165,CH_0798,2026-01-02 16:30:38,15.29,Digital Services,M_5255,AmazonCloud,Philadelphia
TX_005212,CH_0823,2026-01-02 16:35:00,104.72,Gas/Travel,M_9191,ChevronStation,San Jose
TX_017544,CH_0892,2026-01-02 16:43:17,191.2,Retail,M_3476,MacyShop,Dallas
TX_009724,CH_0565,2026-01-02 16:51:09,259.93,Grocery,M_8505,FreshMart,Chicago
TX_018871,CH_0808,2026-01-02 17:02:49,48.85,Digital Services,M_5656,AppleStore,Dallas
TX_016292,CH_0313,2026-01-02 17:05:51,260.69,Retail,M_0750,NordstromStyle,New York
TX_015431,CH_0019,2026-01-02 17:26:36,284.47,Grocery,M_3462,SuperSaver,Los Angeles
TX_003144,CH_0048,2026-01-02 17:29:48,238.1,Digital Services,M_5255,AmazonCloud,San Antonio
TX_019044,CH_0971,2026-01-02 17:38:23,169.98,Retail,M_3476,MacyShop,Phoenix
TX_005183,CH_0852,2026-01-02 17:45:24,39.6,Digital Services,M_5656,AppleStore,San Diego
TX_017377,CH_0009,2026-01-02 19:05:22,77.4,Gas/Travel,M_0100,UberRide,Chicago
TX_017555,CH_0489,2026-01-02 19:21:09,13.01,Gas/Travel,M_9191,ChevronStation,San Diego
TX_015500,CH_0261,2026-01-02 19:29:04,116.35,Gas/Travel,M_9191,ChevronStation,New York
TX_015242,CH_0762,2026-01-02 19:32:39,192.82,Retail,M_0750,NordstromStyle,Dallas
TX_017151,CH_0602,2026-01-02 19:34:04,114.61,Grocery,M_3462,SuperSaver,San Antonio
TX_013373,CH_0564,2026-01-02 19:34:26,155.98,Retail,M_3476,MacyShop,New York
TX_017450,CH_0926,2026-01-02 19:40:57,288.22,Digital Services,M_7752,SteamGames,San Diego
TX_008546,CH_0508,2026-01-02 19:50:01,15.14,Retail,M_0439,WalmartDirect,New York
TX_014595,CH_0784,2026-01-02 19:58:23,210.94,Entertainment,M_8473,SpotifyMusic,Houston
TX_015265,CH_0997,2026-01-02 20:12:40,69.19,Gas/Travel,M_9191,ChevronStation,Phoenix
TX_009033,CH_0084,2026-01-02 20:20:19,195.59,Gas/Travel,M_6552,ShellGas,Los Angeles
TX_001585,CH_0590,2026-01-02 20:45:01,158.82,Gas/Travel,M_9191,ChevronStation,New York
TX_013533,CH_0374,2026-01-02 21:19:12,188.29,Gas/Travel,M_8105,DeltaAir,Philadelphia
TX_000774,CH_0523,2026-01-02 21:21:30,195.44,Digital Services,M_5255,AmazonCloud,San Antonio
TX_012634,CH_0360,2026-01-02 21:27:34,188.57,Digital Services,M_7752,SteamGames,San Diego
TX_003257,CH_0154,2026-01-02 21:37:55,164.65,Digital Services,M_5656,AppleStore,San Diego
TX_000727,CH_0593,2026-01-02 22:01:52,91.44,Digital Services,M_5656,AppleStore,San Antonio
TX_000706,CH_0238,2026-01-02 22:03:11,245.63,Retail,M_6055,TargetRun,New York
TX_010967,CH_0225,2026-01-02 22:17:47,161.61,Grocery,M_1888,WholeFoodsCo,Dallas
TX_012467,CH_0132,2026-01-02 23:14:04,127.2,Gas/Travel,M_9191,ChevronStation,New York
TX_011754,CH_0652,2026-01-02 23:25:21,66.38,Digital Services,M_5255,AmazonCloud,San Diego
TX_015443,CH_0870,2026-01-02 23:25:56,5.85,Retail,M_6055,TargetRun,Los Angeles
TX_002343,CH_0897,2026-01-02 23:52:23,8.18,Retail,M_6055,TargetRun,San Jose
TX_009964,CH_0687,2026-01-02 23:56:46,226.08,Grocery,M_3462,SuperSaver,Phoenix
TX_017859,CH_0419,2026-01-03 00:06:28,55.1,Entertainment,M_8473,SpotifyMusic,San Diego
TX_007025,CH_0425,2026-01-03 00:10:04,38.12,Retail,M_6055,TargetRun,Los Angeles
